WACC,Crescimento perpétuo,Equity Value (R$ bi)
0.1,0.01,13.49383285234766
0.1,0.015,14.419550005315442
0.1,0.019999999999999997,15.460981802404199
0.1,0.024999999999999998,16.641271172438113
0.1,0.03,17.990173309619745
0.1,0.034999999999999996,19.54659885252162
0.1,0.039999999999999994,21.362428652573804
0.1,0.045,23.508409325362756
0.1,0.049999999999999996,26.0835861327095
0.10500000000000001,0.01,12.344267284836233
0.10500000000000001,0.015,13.157650600858107
0.10500000000000001,0.019999999999999997,14.066726071706078
0.10500000000000001,0.024999999999999998,15.089435976410046
0.10500000000000001,0.03,16.24850720174122
0.10500000000000001,0.034999999999999996,17.573160030691117
0.10500000000000001,0.039999999999999994,19.101605602556393
0.10500000000000001,0.045,20.884792103065877
0.10500000000000001,0.049999999999999996,22.992194330940723
0.11000000000000001,0.01,11.310997841410186
0.11000000000000001,0.015,12.029941680399217
0.11000000000000001,0.019999999999999997,12.828768168164805
0.11000000000000001,0.024999999999999998,13.721574242726344
0.11000000000000001,0.03,14.725981076608084
0.11000000000000001,0.034999999999999996,15.864308821674049
0.11000000000000001,0.039999999999999994,17.165254816035148
0.11000000000000001,0.045,18.66634634799027
0.11000000000000001,0.049999999999999996,20.417619801937906
0.11500000000000002,0.01,10.377381579589866
0.11500000000000002,0.015,11.01626514746159
0.11500000000000002,0.019999999999999997,11.722399617214545
0.11500000000000002,0.024999999999999998,12.506993472495612
0.11500000000000002,0.03,13.383892487221509
0.11500000000000002,0.034999999999999996,14.370403878788144
0.11500000000000002,0.039999999999999994,15.488450122563657
0.11500000000000002,0.045,16.76621725830711
0.11500000000000002,0.049999999999999996,18.240563953395696
0.12000000000000002,0.01,9.529802326230067
0.12000000000000002,0.015,10.100303328705415
0.12000000000000002,0.019999999999999997,10.727854431428302
0.12000000000000002,0.024999999999999998,11.42146354496412
0.12000000000000002,0.03,12.192140337781705
0.12000000000000002,0.034999999999999996,13.053484988577816
0.12000000000000002,0.039999999999999994,14.02249772072345
0.12000000000000002,0.045,15.1207121504885
0.12000000000000002,0.049999999999999996,16.37581435593427
0.12500000000000003,0.01,8.75701265975494
0.12500000000000003,0.015,9.268706125937006
0.12500000000000003,0.019999999999999997,9.829132303184032
0.12500000000000003,0.024999999999999998,10.445601098155763
0.12500000000000003,0.03,11.126961345229786
0.12500000000000003,0.034999999999999996,11.884028286423135
0.12500000000000003,0.039999999999999994,12.73016192658041
0.12500000000000003,0.045,13.68206227175735
0.12500000000000003,0.049999999999999996,14.760882662957878
0.13000000000000003,0.01,8.049640397708824
0.13000000000000003,0.015,8.510445868470347
0.13000000000000003,0.019999999999999997,9.013142745664732
0.13000000000000003,0.024999999999999998,9.563715515925253
0.13000000000000003,0.03,10.169345563211829
0.13000000000000003,0.034999999999999996,10.838726141791724
0.13000000000000003,0.039999999999999994,11.582482340213827
0.13000000000000003,0.045,12.413739267862066
0.13000000000000003,0.049999999999999996,13.348903311466332
0.13500000000000004,0.01,7.399813528099708
0.13500000000000004,0.015,7.816333453203723
0.13500000000000004,0.019999999999999997,8.269072502229825
0.13500000000000004,0.024999999999999998,8.762969646621935
0.13500000000000004,0.03,9.303904614289488
0.13500000000000004,0.034999999999999996,9.898933078723795
0.13500000000000004,0.039999999999999994,10.556596118361716
0.13500000000000004,0.045,11.287332829070513
0.13500000000000004,0.049999999999999996,12.10403856456858
0.14000000000000004,0.01,6.800871695789371
0.14000000000000004,0.015,7.178650611818709
0.14000000000000004,0.019999999999999997,7.5879111041838225
0.14000000000000004,0.024999999999999998,8.032759465450253
0.14000000000000004,0.03,8.518048586831815
0.14000000000000004,0.034999999999999996,9.049555719773524
0.14000000000000004,0.039999999999999994,9.634213566009405
0.14000000000000004,0.045,10.280414343428012
0.14000000000000004,0.049999999999999996,10.99841520722646
0.14500000000000005,0.01,6.247141803703649
0.14500000000000005,0.015,6.590867040077813
0.14500000000000005,0.019999999999999997,6.96209029536191
0.14500000000000005,0.024999999999999998,7.36424882191968
0.14500000000000005,0.03,7.801377655134654
0.14500000000000005,0.034999999999999996,8.278245473187345
0.14500000000000005,0.039999999999999994,8.800529273911726
0.14500000000000005,0.045,9.375041454708544
0.14500000000000005,0.049999999999999996,10.010028601905026
0.15000000000000005,0.01,5.733761700130216
0.15000000000000005,0.015,6.047420387908493
0.15000000000000005,0.019999999999999997,6.385206667054329
0.15000000000000005,0.024999999999999998,6.750015848531833
0.15000000000000005,0.03,7.145225795132464
0.15000000000000005,0.034999999999999996,7.574801824046191
0.15000000000000005,0.039999999999999994,8.043430219224799
0.15000000000000005,0.045,8.556689890134708
0.15000000000000005,0.049999999999999996,9.121275528135605
0.15500000000000005,0.01,5.256540345092476
0.15500000000000005,0.015,5.543543395052314
0.15500000000000005,0.019999999999999997,5.851805930194363
0.15500000000000005,0.024999999999999998,6.183780968039647
0.15500000000000005,0.03,6.542314008912558
0.15500000000000005,0.034999999999999996,6.9307248031915405
0.15500000000000005,0.039999999999999994,7.352910449146958
0.15500000000000005,0.045,7.813476608371047
0.15500000000000005,0.049999999999999996,8.317906211330767
0.16000000000000006,0.01,4.8118459439916075
0.16000000000000006,0.015,5.075126792291879
0.16000000000000006,0.019999999999999997,5.357213415470746
0.16000000000000006,0.024999999999999998,5.660195344070267
0.16000000000000006,0.03,5.986483574869756
0.16000000000000006,0.034999999999999996,6.338874864133198
0.16000000000000006,0.039999999999999994,6.720632094168596
0.16000000000000006,0.045,7.1355856050766375
0.16000000000000006,0.049999999999999996,7.588262162430864
0.16500000000000006,0.01,4.3965157333061935
0.16500000000000006,0.015,4.638609622933198
0.16500000000000006,0.019999999999999997,4.897399642879305
0.16500000000000006,0.024999999999999998,5.174674664250135
0.16500000000000006,0.03,5.47248857609288
0.16500000000000006,0.034999999999999996,5.793211250385065
0.16500000000000006,0.039999999999999994,6.139591738620628
0.16500000000000006,0.045,6.514837267542485
0.16500000000000006,0.049999999999999996,6.922712842457544
0.17000000000000007,0.01,4.007782681941606
0.17000000000000007,0.015,4.230890792852866
0.17000000000000007,0.019999999999999997,4.468872777824875
0.17000000000000007,0.024999999999999998,4.723267313484609
0.17000000000000007,0.03,4.995832887405757
0.17000000000000007,0.034999999999999996,5.288588503839577
0.17000000000000007,0.039999999999999994,5.603863783075999
0.17000000000000007,0.045,5.94436108465134
0.17000000000000007,0.049999999999999996,6.313233161357952
0.17500000000000007,0.01,3.6432155200430696
0.17500000000000007,0.015,3.8492572053437457
0.17500000000000007,0.019999999999999997,4.068591902599305
0.17500000000000007,0.024999999999999998,4.302548913005237
0.17500000000000007,0.03,4.552640889646061
0.17500000000000007,0.034999999999999996,4.820596578904085
0.17500000000000007,0.039999999999999994,5.1084008377367764
0.17500000000000007,0.045,5.4183438857104465
0.17500000000000007,0.049999999999999996,5.753082377522007
0.18000000000000008,0.01,3.3006693513654732
0.18000000000000008,0.015,3.4913249627543874
0.18000000000000008,0.019999999999999997,3.693896549855113
0.18000000000000008,0.024999999999999998,3.909537271607496
0.18000000000000008,0.03,4.139554041476708
0.18000000000000008,0.034999999999999996,4.385434036854137
0.18000000000000008,0.039999999999999994,4.648876889044244
0.18000000000000008,0.045,4.931834026581765
0.18000000000000008,0.049999999999999996,5.236557097776014
0.18500000000000008,0.01,2.978244732473094
0.18500000000000008,0.015,3.154990944684647
0.18500000000000008,0.019999999999999997,3.3424490485453866
0.18500000000000008,0.024999999999999998,3.5416232838974184
0.18500000000000008,0.03,3.753647469917329
0.18500000000000008,0.034999999999999996,3.9798066016718967
0.18500000000000008,0.039999999999999994,4.221562914926782
0.18500000000000008,0.045,4.4805875362713
0.18500000000000008,0.049999999999999996,4.758799166604299
0.19000000000000009,0.01,2.6742535724262764
0.19000000000000009,0.015,2.838392687411517
0.19000000000000009,0.019999999999999997,3.0121870444547123
0.19000000000000009,0.024999999999999998,3.1965143928338606
0.19000000000000009,0.03,3.3923622004867084
0.19000000000000009,0.034999999999999996,3.6008453505687674
0.19000000000000009,0.039999999999999994,3.8232273773229646
0.19000000000000009,0.045,4.060946095577452
0.19000000000000009,0.049999999999999996,4.315644722278688
0.1950000000000001,0.01,2.3871905625792107
0.1950000000000001,0.015,2.5398749504038207
0.1950000000000001,0.019999999999999997,2.7012841603898385
0.1950000000000001,0.024999999999999998,2.872188029786799
0.1950000000000001,0.03,3.053449709450245
0.1950000000000001,0.034999999999999996,3.246040244092651
0.1950000000000001,0.039999999999999994,3.451055974518441
0.1950000000000001,0.045,3.6697394203059504
0.1950000000000001,0.049999999999999996,3.9035044830443226
0.2000000000000001,0.01,2.1157091177712735
0.2000000000000001,0.015,2.257961704788113
0.2000000000000001,0.019999999999999997,2.4081172133058906
0.2000000000000001,0.024999999999999998,2.566853036596112
0.2000000000000001,0.03,2.7349262612563465
0.2000000000000001,0.034999999999999996,2.913185741956595
0.2000000000000001,0.039999999999999994,3.102586440200608
0.2000000000000001,0.045,3.3042065383313335
0.2000000000000001,0.049999999999999996,3.5192679763374404
